"Order","State","Age","Respondents"
21,"Iowa","Y18plus",222
37,"NewMexico","Y18plus",223
24,"Louisiana","Y18plus",337
42,"Oklahoma","Y18plus",367
23,"Kentucky","Y18plus",401
6,"Alabama","Y18plus",408
12,"Connecticut","Y18plus",410
34,"Nevada","Y18plus",426
46,"SouthCarolina","Y18plus",419
29,"Minnesota","Y18plus",498
55,"Wisconsin","Y18plus",500
31,"Missouri","Y18plus",508
48,"Tennessee","Y18plus",543
26,"Maryland","Y18plus",607
52,"Virginia","Y18plus",610
20,"Indiana","Y18plus",654
43,"Oregon","Y18plus",678
8,"Arizona","Y18plus",722
36,"NewJersey","Y18plus",712
16,"Georgia","Y18plus",840
11,"Colorado","Y18plus",874
39,"NorthCarolina","Y18plus",862
27,"Massachusetts","Y18plus",955
41,"Ohio","Y18plus",1075
44,"Pennsylvania","Y18plus",1130
53,"Washington","Y18plus",1174
19,"Illinois","Y18plus",1203
28,"Michigan","Y18plus",1245
49,"Texas","Y18plus",1877
38,"NewYork","Y18plus",1950
15,"Florida","Y18plus",1979
10,"California","Y18plus",4720
56,"Wyoming","Y26plus",42
47,"SouthDakota","Y26plus",54
40,"NorthDakota","Y26plus",56
7,"Alaska","Y26plus",110
14,"DistrictofColumbia","Y26plus",114
51,"Vermont","Y26plus",115
13,"Delaware","Y26plus",118
17,"Hawaii","Y26plus",136
32,"Montana","Y26plus",147
18,"Idaho","Y26plus",148
33,"Nebraska","Y26plus",149
45,"RhodeIsland","Y26plus",158
54,"WestVirginia","Y26plus",164
35,"NewHampshire","Y26plus",185
50,"Utah","Y26plus",208
25,"Maine","Y26plus",220
30,"Mississippi","Y26plus",225
9,"Arkansas","Y26plus",236
22,"Kansas","Y26plus",240
21,"Iowa","Y26plus",242
37,"NewMexico","Y26plus",243
24,"Louisiana","Y26plus",360
42,"Oklahoma","Y26plus",392
23,"Kentucky","Y26plus",425
6,"Alabama","Y26plus",434
12,"Connecticut","Y26plus",434
34,"Nevada","Y26plus",450
46,"SouthCarolina","Y26plus",450
29,"Minnesota","Y26plus",534
55,"Wisconsin","Y26plus",537
31,"Missouri","Y26plus",543
48,"Tennessee","Y26plus",578
26,"Maryland","Y26plus",644
52,"Virginia","Y26plus",654
20,"Indiana","Y26plus",700
43,"Oregon","Y26plus",712
8,"Arizona","Y26plus",765
36,"NewJersey","Y26plus",765
16,"Georgia","Y26plus",899
11,"Colorado","Y26plus",924
39,"NorthCarolina","Y26plus",927
27,"Massachusetts","Y26plus",1008
41,"Ohio","Y26plus",1146
44,"Pennsylvania","Y26plus",1196
53,"Washington","Y26plus",1235
19,"Illinois","Y26plus",1284
28,"Michigan","Y26plus",1312
49,"Texas","Y26plus",2054
38,"NewYork","Y26plus",2062
15,"Florida","Y26plus",2093
10,"California","Y26plus",5034
